_id,user_id,UserName,Name,email,address,city,state,zipcode,contactnumber,note,products[0].product_id,products[1].product_id,products[2].product_id,products[0].product_name,products[1].product_name,products[2].product_name,products[0].quantity,products[1].quantity,products[2].quantity,products[0].selectedSize,products[1].selectedSize,products[2].selectedSize,products[0].price,products[1].price,products[2].price,products[0].Product_img[0],products[1].Product_img[0],products[2].Product_img[0],products[0]._id,products[1]._id,products[2]._id,totalAmount,paymentMethod,order_status,order_status_time,paymentDetails[0].paymentDate,paymentDetails[0].paymentStatus,paymentDetails[0].payment_id,paymentDetails[0].order_id,paymentDetails[0].signature,paymentDetails[0]._id,order_date,createdAt,__v,razorpay_order_id,paymentDetails[0].status,paymentDetails[0].method,paymentDetails[0].bank,paymentDetails[0].wallet,paymentDetails[0].vpa,paymentDetails[0].fee,paymentDetails[0].tax
679b6ae3b7fff98f9910fe21,679b67dbb7fff98f9910fc1f,user,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145210,1542621020,noo,6791cd8e531215682d2ccaee,,,black bluzer and indo westan,,,1,,,L,,,15600,,,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,,,679b6ae3b7fff98f9910fe22,,,15700,Online,Pending,,2025-01-30T12:05:56.955Z,Success,pay_PpeH01oBXaj7lT,order_PpeGBXREiNYmY1,ba58addb513d931e2488977a20f61b5bf767ef1530b9e79acc9c9027125db8cb,679b6b24b7fff98f9910fe2b,30/01/2025,2025-01-30T12:04:51.494Z,1,order_PpeGBXREiNYmY1,,,,,,,
679c5a6068dd8f09be3459da,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145263,1245963102,noooo,6791cdf1531215682d2ccb04,6791cd8e531215682d2ccaee,6790c91fdc2677ad8766e367,pink bluzer,black bluzer and indo westan,Tradition Kurto,3,3,1,M,L,L,12500,15600,12000,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,http://192.168.1.146:5000/uploads/1737541919522-453248329.jpg,679c5a6068dd8f09be3459db,679c5a6068dd8f09be3459dc,679c5a6068dd8f09be3459dd,96400,Online,Cancelled,,2025-01-31T05:06:40.740Z,Failed,,,,679c5a6068dd8f09be3459de,31/01/2025,2025-01-31T05:06:40.750Z,0,order_PpvfYqdHICfyNK,,,,,,,
679c5ab868dd8f09be3459e5,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145263,1245963102,noooo,6791cdf1531215682d2ccb04,6791cd8e531215682d2ccaee,6790c91fdc2677ad8766e367,pink bluzer,black bluzer and indo westan,Tradition Kurto,3,3,1,M,L,L,12500,15600,12000,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,http://192.168.1.146:5000/uploads/1737541919522-453248329.jpg,679c5ab868dd8f09be3459e6,679c5ab868dd8f09be3459e7,679c5ab868dd8f09be3459e8,96400,Online,Cancelled,,2025-01-31T05:08:08.611Z,Failed,,,,679c5ab868dd8f09be3459e9,31/01/2025,2025-01-31T05:08:08.613Z,0,order_Ppvh5oOJz6YrE1,,,,,,,
679c5b34258dba3d0f0cb6cd,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145263,1245963102,noooo,6791cdf1531215682d2ccb04,6791cd8e531215682d2ccaee,6790c91fdc2677ad8766e367,pink bluzer,black bluzer and indo westan,Tradition Kurto,3,3,1,M,L,L,12500,15600,12000,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,http://192.168.1.146:5000/uploads/1737541919522-453248329.jpg,679c5b34258dba3d0f0cb6ce,679c5b34258dba3d0f0cb6cf,679c5b34258dba3d0f0cb6d0,96400,Online,Cancelled,,2025-01-31T05:10:12.077Z,Failed,,,,679c5b34258dba3d0f0cb6d1,31/01/2025,2025-01-31T05:10:12.085Z,0,,,,,,,,
679c5b74b2dd89d39b22c09f,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145263,1245963102,noooo,6791cdf1531215682d2ccb04,6791cd8e531215682d2ccaee,6790c91fdc2677ad8766e367,pink bluzer,black bluzer and indo westan,Tradition Kurto,3,3,1,M,L,L,12500,15600,12000,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,http://192.168.1.146:5000/uploads/1737541919522-453248329.jpg,679c5b74b2dd89d39b22c0a0,679c5b74b2dd89d39b22c0a1,679c5b74b2dd89d39b22c0a2,96400,Online,Cancelled,,2025-01-31T05:11:16.024Z,Failed,,,,679c5b74b2dd89d39b22c0a3,31/01/2025,2025-01-31T05:11:16.035Z,0,,,,,,,,
679c5d2c76c083d1b357e15e,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145263,1245963102,noooo,6791cdf1531215682d2ccb04,6791cd8e531215682d2ccaee,6790c91fdc2677ad8766e367,pink bluzer,black bluzer and indo westan,Tradition Kurto,3,3,1,M,L,L,12500,15600,12000,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,http://192.168.1.146:5000/uploads/1737541919522-453248329.jpg,679c5d2c76c083d1b357e15f,679c5d2c76c083d1b357e160,679c5d2c76c083d1b357e161,96400,Online,Cancelled,,2025-01-31T05:18:36.777Z,Failed,,,,679c5d2c76c083d1b357e162,31/01/2025,2025-01-31T05:18:36.788Z,0,order_Ppvs9ZP223un61,,,,,,,
679c5d8a76c083d1b357e169,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,user,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,145263,1245963102,noooo,6791cdf1531215682d2ccb04,6791cd8e531215682d2ccaee,6790c91fdc2677ad8766e367,pink bluzer,black bluzer and indo westan,Tradition Kurto,3,3,1,M,L,L,12500,15600,12000,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,http://192.168.1.146:5000/uploads/1737541919522-453248329.jpg,679c5d8a76c083d1b357e16a,679c5d8a76c083d1b357e16b,679c5d8a76c083d1b357e16c,96400,Online,Cancelled,,2025-01-31T05:20:10.453Z,Failed,,,,679c5d8a76c083d1b357e16d,31/01/2025,2025-01-31T05:20:10.455Z,0,order_PpvtnhArRgh6O5,,,,,,,
679c5e0676c083d1b357e3a0,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,hello,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,164520,1648415210,nothing,6791cdf1531215682d2ccb04,,,pink bluzer,,,1,,,L,,,12500,,,http://192.168.1.146:5000/uploads/1737608689039-222925697.jpg,,,679c5e0676c083d1b357e3a1,,,12600,Online,Pending,,2025-01-31T05:23:17.179Z,Success,pay_PpvwkdvLDyCRbG,order_Ppvvyx02aTJ7Zv,8728d453e44eaf0c9faaa8e99a08e6a51de1c8233757f91a060c16bf3c8df33f,679c5e4576c083d1b357e3aa,31/01/2025,2025-01-31T05:22:14.298Z,1,order_Ppvvyx02aTJ7Zv,captured,wallet,,jiomoney,,29736,4536
679c6254a64bed0ad8c0fbe5,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,hello,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,164520,1645203010,nooo,6791cd8e531215682d2ccaee,,,black bluzer and indo westan,,,1,,,XXXL,,,15600,,,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,,,679c6254a64bed0ad8c0fbe6,,,15700,Online,Cancelled,,2025-01-31T05:40:36.705Z,Failed,,,,679c6254a64bed0ad8c0fbe7,31/01/2025,2025-01-31T05:40:36.710Z,0,order_PpwFPB9kXQgrr2,,,,,,,
679c6268a64bed0ad8c0fbea,67988df1719ede018e340dba,pkego0djgj0gj-g=i-0gi-0weug-wegijgieheigegdp,hello,use32300@gmail.com,ahmedabad,Ahmedabad,gujrat,164520,1645203010,nooo,6791cd8e531215682d2ccaee,,,black bluzer and indo westan,,,1,,,XXXL,,,15600,,,http://192.168.1.146:5000/uploads/1737608590913-299503223.jpg,,,679c6268a64bed0ad8c0fbeb,,,15700,Online,Cancelled,,2025-01-31T05:40:56.649Z,Failed,,,,679c6268a64bed0ad8c0fbec,31/01/2025,2025-01-31T05:40:56.650Z,0,order_PpwFk3KYLMUIg3,,,,,,,
